division,abbr,climate_zone,homes_millions,mean_viability,mean_npv,is_viable
New England,NE,Cold,2.1,0.24992813492063481,-21171.44218325274,False
Middle Atlantic,MA,Cold,5.8,0.24992813492063481,-21171.44218325274,False
East North Central,ENC,Cold,7.2,0.24992813492063481,-21171.44218325274,False
West North Central,WNC,Cold,3.1,0.24992813492063481,-21171.44218325274,False
South Atlantic,SA,Mild,4.5,0.44331515079365075,-21167.185221225463,False
East South Central,ESC,Moderate,2.8,0.34662164285714286,-21167.746988664156,False
West South Central,WSC,Mild,3.2,0.44331515079365075,-21167.185221225463,False
Mountain North,MtN,Cold,1.5,0.24992813492063481,-21171.44218325274,False
Mountain South,MtS,Moderate,1.4,0.34662164285714286,-21167.746988664156,False
Pacific,PAC,Moderate,4.8,0.34662164285714286,-21167.746988664156,False
