set,n_samples,rmse,mae,r2,mape,weighted_rmse,model
Train,5631,0.002690478874483481,0.0019252670539966113,0.5929630901569478,84.91576322990855,0.0026480587531228163,XGBoost
Validation,1878,0.003051908496129119,0.0021082556543241776,0.4762027682146909,61.02907116455722,0.003160206338900287,XGBoost
Test,1878,0.0029068045813215476,0.002096691364207223,0.49094832213381756,42.76159271182524,0.0028682618354979863,XGBoost
Train,5631,0.0032270338211884313,0.0022960510120812504,0.4144261771278124,94.33795563074997,0.003236564339963828,DeepEmbeddingNN
Validation,1878,0.0032546230558179907,0.0022986213776442807,0.4043082632494852,75.55840334113783,0.003350983596579393,DeepEmbeddingNN
Test,1878,0.003095613031965437,0.0022740180634417636,0.4226707865092113,47.476371326942825,0.0030376692883368546,DeepEmbeddingNN
Train,5631,0.003413099546795199,0.002455521980686379,0.3449528971793042,95.10555085478119,0.0034428086606213483,SimpleLSTM
Validation,1878,0.0034363747126510383,0.0024604914997278697,0.3359187605092345,73.54416876647537,0.0035326625145365113,SimpleLSTM
Test,1878,0.0032597162460366092,0.0024271579758934157,0.35983814107014656,52.114993299732234,0.0032129954479096874,SimpleLSTM
Train,5631,0.0019516904007568679,0.0013558557013724274,0.7858113408769338,57.498450006631685,0.001836375107240261,RandomForest
Validation,1878,0.0030779821003439067,0.002143165478102815,0.4672145424015214,64.89255734937397,0.00318210530799736,RandomForest
Test,1878,0.002916669173773441,0.002118868629906019,0.48748740284600955,43.94537448663101,0.002863416437942648,RandomForest
Train,5631,0.002721045743829688,0.001933713929732949,0.5836617565991911,83.95699231553878,0.002690687522038074,GradientBoosting
Validation,1878,0.0030505208515093757,0.0021065303613132403,0.47667898116163565,61.37437553240667,0.0031516386193630734,GradientBoosting
Test,1878,0.0028833721455079632,0.0020899241825964904,0.49912241291603654,42.26496209982482,0.00285749888584019,GradientBoosting
Train,5631,0.0020714871499621953,0.0014457491818912374,0.7587101202105488,60.04644205007963,0.001910752867526785,ExtraTrees
Validation,1878,0.003123489878877601,0.002189081435795762,0.4513436771622312,65.02267185550568,0.0032157029413987584,ExtraTrees
Test,1878,0.002966960901131322,0.0021524357570710593,0.46966065535219637,45.172849228471875,0.0029259341154973945,ExtraTrees
Train,5631,0.003168874215151004,0.0022703033831462686,0.4353431236722707,95.7301141205109,0.0032051732416264124,LinearRegression
Validation,1878,0.0032305382407832087,0.002299540312193441,0.4130921004904935,72.3013082895528,0.0033217043204301377,LinearRegression
Test,1878,0.0030360135263923105,0.002264867922930827,0.4446873004612184,47.186264015452295,0.00302257807619877,LinearRegression
Train,5631,0.0031688742199100987,0.0022703033712089924,0.4353431219762389,95.73011699366556,0.003205173241626491,Ridge
Validation,1878,0.003230538233325672,0.002299540305676618,0.41309210320018874,72.3013067462119,0.0033217043194756456,Ridge
Test,1878,0.0030360135533494923,0.0022648679348513073,0.4446872905998227,47.18626551209414,0.003022578115289017,Ridge
Train,5631,0.0034247807429354203,0.002481699431626357,0.3404614796512272,99.07844720138307,0.003448637420020651,Lasso
Validation,1878,0.0034414019334835177,0.0024889359629299067,0.3339743130455928,75.61007649613086,0.0035361927748867707,Lasso
Test,1878,0.0032616200323124208,0.0024252641047737317,0.35909016967643814,52.858541722832896,0.0032175408946008375,Lasso
