,count,mean,std,min,25%,50%,75%,max,missing,missing_pct
DOEID,9387.0,109234.54373069138,5339.747149758477,100001.0,104593.5,109321.0,113831.5,118492.0,0,0.0
NWEIGHT,9387.0,6470.584000798886,3573.6103725671837,437.92577799,4057.3415962500003,5966.7938918,8501.05090795,24893.856335,0,0.0
HDD65,9387.0,4692.761478640673,2075.787887893235,295.0,3214.0,4766.0,5993.5,14075.0,0,0.0
CDD65,9387.0,1309.8425482049643,878.6158144137723,0.0,809.0,1104.0,1571.0,5362.0,0,0.0
TYPEHUQ,9387.0,2.4384787472035794,0.9497956690610841,1.0,2.0,2.0,2.0,5.0,0,0.0
YEARMADERANGE,9387.0,4.32662192393736,2.3834113375147274,1.0,2.0,4.0,6.0,9.0,0,0.0
TOTSQFT_EN,9387.0,2125.4905720677534,1176.5860360308488,290.0,1250.0,1900.0,2700.0,15000.0,0,0.0
TOTHSQFT,9387.0,1972.5918823905401,1084.7649441080007,290.0,1200.0,1760.0,2500.0,15000.0,0,0.0
TOTCSQFT,9387.0,1606.8584212208373,1206.5726429021208,0.0,710.0,1490.0,2300.0,14600.0,0,0.0
STORIES,9387.0,1.0970491104719293,1.5614614856150095,-2.0,1.0,1.0,2.0,5.0,0,0.0
NCOMBATH,9387.0,1.8905933738148504,0.7857292710713193,0.0,1.0,2.0,2.0,4.0,0,0.0
NHAFBATH,9387.0,0.4128049430062853,0.5482650750948743,0.0,0.0,0.0,1.0,2.0,0,0.0
BEDROOMS,9387.0,3.054436987322893,1.060254920492478,0.0,2.0,3.0,4.0,6.0,0,0.0
TOTROOMS,9387.0,6.909449238308299,2.330214364130505,1.0,5.0,7.0,8.0,15.0,0,0.0
PRKGPLC1,9387.0,0.2541813145839992,1.0644840500039565,-2.0,0.0,1.0,1.0,1.0,0,0.0
WINDOWS,9387.0,4.106636838180463,1.3780514645736455,1.0,3.0,4.0,5.0,7.0,0,0.0
WINFRAME,9387.0,2.045168850537978,0.9415503085473795,1.0,1.0,2.0,3.0,5.0,0,0.0
TYPEGLASS,9387.0,1.7490145946521785,0.4780142158560411,1.0,1.0,2.0,2.0,3.0,0,0.0
ADQINSUL,9387.0,1.8747203579418346,0.7045158241272707,1.0,1.0,2.0,2.0,4.0,0,0.0
DRAFTY,9387.0,3.3143709385320124,0.7478423655754047,1.0,3.0,3.0,4.0,4.0,0,0.0
HIGHCEIL,9387.0,0.455204005539576,0.6295440637006938,-2.0,0.0,1.0,1.0,1.0,0,0.0
CELLAR,9387.0,0.1381698093107489,1.0308368063582356,-2.0,0.0,0.0,1.0,1.0,0,0.0
CRAWL,9387.0,-0.07435815489506764,0.9293207842039621,-2.0,0.0,0.0,0.0,1.0,0,0.0
CONCRETE,9387.0,0.0028763183125599234,0.9728315743457657,-2.0,0.0,0.0,1.0,1.0,0,0.0
BASEFIN,9387.0,-0.7989773090444231,1.359033126924225,-2.0,-2.0,-2.0,1.0,1.0,0,0.0
ATTIC,9387.0,0.23979972302119953,1.061059922591953,-2.0,0.0,1.0,1.0,1.0,0,0.0
ATTICFIN,9387.0,-0.8237988707787366,1.0825979189079704,-2.0,-2.0,0.0,0.0,1.0,0,0.0
WALLTYPE,9387.0,2.9128582081602215,5.670611995377354,1.0,1.0,3.0,3.0,99.0,0,0.0
ROOFTYPE,9387.0,5.1850431447746885,10.751000726752258,-2.0,5.0,5.0,5.0,99.0,0,0.0
FUELHEAT,9387.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0
EQUIPM,9387.0,3.3783956535634387,5.820234242667629,2.0,3.0,3.0,3.0,99.0,0,0.0
EQUIPAGE,9387.0,3.719825290295089,1.584374630472967,1.0,3.0,4.0,5.0,6.0,0,0.0
FUELAUX,9387.0,0.9208479812506658,3.396959540526393,-2.0,-2.0,-2.0,5.0,7.0,0,0.0
NOHEATBROKE,9387.0,0.018962394801320975,0.13639942947188677,0.0,0.0,0.0,0.0,1.0,0,0.0
NOHEATBULK,9387.0,0.0006391818472355385,0.025275311071624333,0.0,0.0,0.0,0.0,1.0,0,0.0
NOHEATDAYS,9387.0,-1.2426760413337594,11.714349937468702,-2.0,-2.0,-2.0,-2.0,366.0,0,0.0
HEATCNTL,9387.0,2.055608820709492,2.6629100914377366,1.0,1.0,2.0,3.0,99.0,0,0.0
TEMPHOME,9387.0,69.70874613827634,3.354057685205151,50.0,68.0,70.0,72.0,90.0,0,0.0
TEMPNITE,9387.0,67.84084372003835,4.436571717448419,50.0,65.0,68.0,70.0,90.0,0,0.0
TEMPGONE,9387.0,67.3571961222968,4.678535904565307,50.0,65.0,68.0,70.0,89.0,0,0.0
ACEQUIPM_PUB,9387.0,1.2382017684031106,1.6265883203203386,-2.0,1.0,1.0,1.0,6.0,0,0.0
ACEQUIPAGE,9387.0,2.7576435495898584,2.1286564429747394,-2.0,2.0,3.0,4.0,6.0,0,0.0
BTUEL,9387.0,32022.45056674124,20582.63138431981,195.26,18577.33,28005.76,40612.255000000005,628155.47,0,0.0
BTUNG,9387.0,68531.88034196229,43228.566470955324,39.56,39283.455,60890.23,87249.9,1134708.69,0,0.0
BTULP,9387.0,70.01291360392031,1363.5370744121103,0.0,0.0,0.0,0.0,43460.41,0,0.0
BTUFO,9387.0,115.90944817300522,2646.015296823349,0.0,0.0,0.0,0.0,109046.73,0,0.0
TOTALBTU,9387.0,100740.38613294982,52292.54380779864,2976.75,66673.13500000001,92982.81,124505.935,1367548.13,0,0.0
KWH,9387.0,9385.243434537126,6032.424221329932,57.23,5444.705,8208.02,11902.77,184101.84,0,0.0
CUFEETNG,9387.0,687.1374315542772,434.7673364611757,0.39,392.855,609.22,875.755,11091.03,0,0.0
GALLONLP,9387.0,0.7655662085863428,14.909785492676637,0.0,0.0,0.0,0.0,475.22,0,0.0
GALLONFO,9387.0,0.8437083200170448,19.260429282901875,0.0,0.0,0.0,0.0,793.75,0,0.0
DOLLAREL,9387.0,1266.8049195696176,758.695847600407,-116.14,760.39,1129.39,1593.2,15680.18,0,0.0
DOLLARNG,9387.0,719.8527591349739,444.6564415931485,0.37,456.35,624.8,852.76,8154.98,0,0.0
DOLLARLP,9387.0,1.5003813785021836,28.389992489984248,0.0,0.0,0.0,0.0,1012.41,0,0.0
DOLLARFO,9387.0,2.1506359859379995,49.54937755037896,0.0,0.0,0.0,0.0,2453.52,0,0.0
