scenario_id,retrofit,hp_type,climate_zone,hdd,envelope_class,price_scenario,npv,annual_savings,payback_years,baseline_gas_therms,hp_electricity_kwh,baseline_emissions_kg,hp_emissions_kg,emissions_reduction_kg,total_investment,viability_score,is_viable
0,none,standard,Mild,3000,Poor,low,-11999.918158472303,0.007884800000000025,1521915.5844155797,0.42240000000000005,4.12544,2.2387200000000003,1.59241984,0.6463001600000002,12000,0.9016666666666666,True
1,none,standard,Mild,3000,Poor,base,-12001.172087593122,-0.11292160000000001,999.0,0.42240000000000005,4.12544,2.2387200000000003,1.59241984,0.6463001600000002,12000,0.5963880952380951,True
2,none,standard,Mild,3000,Poor,high,-12002.84399308756,-0.27399680000000004,999.0,0.42240000000000005,4.12544,2.2387200000000003,1.59241984,0.6463001600000002,12000,0.18934999999999996,False
3,none,standard,Mild,3000,Medium,low,-11999.927458645901,0.006988800000000017,1717032.9670329627,0.3744,3.65664,1.98432,1.41146304,0.5728569600000002,12000,0.6672333333333332,True
4,none,standard,Mild,3000,Medium,base,-12001.03889582118,-0.10008959999999995,999.0,0.3744,3.65664,1.98432,1.41146304,0.5728569600000002,12000,0.4413271904761904,False
5,none,standard,Mild,3000,Medium,high,-12002.52081205488,-0.2428608,999.0,0.3744,3.65664,1.98432,1.41146304,0.5728569600000002,12000,0.14011899999999997,False
6,none,standard,Mild,3000,Good,low,-11999.936758819504,0.006092800000000009,1969537.8151260475,0.3264,3.18784,1.7299200000000001,1.23050624,0.49941376000000015,12000,0.44181666666666664,False
7,none,standard,Mild,3000,Good,base,-12000.905704049232,-0.08725759999999994,999.0,0.3264,3.18784,1.7299200000000001,1.23050624,0.49941376000000015,12000,0.2922301666666666,False
8,none,standard,Mild,3000,Good,high,-12002.197631022205,-0.21172479999999994,999.0,0.3264,3.18784,1.7299200000000001,1.23050624,0.49941376000000015,12000,0.09278149999999998,False
9,none,standard,Moderate,5000,Poor,low,-11999.829496817294,0.0164266666666667,730519.480519479,0.88,8.594666666666667,4.664,3.3175413333333337,1.346458666666666,12000,0.7050000000000001,True
10,none,standard,Moderate,5000,Poor,base,-12002.441849152343,-0.23525333333333343,999.0,0.88,8.594666666666667,4.664,3.3175413333333337,1.346458666666666,12000,0.46630714285714286,False
11,none,standard,Moderate,5000,Poor,high,-12005.924985599075,-0.5708266666666666,999.0,0.88,8.594666666666667,4.664,3.3175413333333337,1.346458666666666,12000,0.14805,False
12,none,standard,Moderate,5000,Medium,low,-11999.848872178967,0.014560000000000017,824175.8241758232,0.78,7.618000000000001,4.134,2.9405480000000006,1.1934519999999997,12000,0.5217,True
13,none,standard,Moderate,5000,Medium,base,-12002.164366294124,-0.20852000000000026,999.0,0.78,7.618000000000001,4.134,2.9405480000000006,1.1934519999999997,12000,0.34506728571428574,False
14,none,standard,Moderate,5000,Medium,high,-12005.251691780999,-0.5059600000000004,999.0,0.78,7.618000000000001,4.134,2.9405480000000006,1.1934519999999997,12000,0.10955699999999999,False
15,none,standard,Moderate,5000,Good,low,-11999.868247540635,0.012693333333333223,945378.1512605124,0.68,6.641333333333335,3.604,2.563554666666667,1.040445333333333,12000,0.34545000000000003,False
16,none,standard,Moderate,5000,Good,base,-12001.886883435902,-0.18178666666666687,999.0,0.68,6.641333333333335,3.604,2.563554666666667,1.040445333333333,12000,0.2284905,False
17,none,standard,Moderate,5000,Good,high,-12004.57839796292,-0.44109333333333356,999.0,0.68,6.641333333333335,3.604,2.563554666666667,1.040445333333333,12000,0.0725445,False
18,none,standard,Cold,7000,Poor,low,-12001.829398854461,-0.17624847058823545,999.0,1.4784,16.987105882352942,7.83552,6.557022870588236,1.2784971294117637,12000,0.5083333333333333,True
19,none,standard,Cold,7000,Poor,base,-12007.805033928396,-0.7519548235294122,999.0,1.4784,16.987105882352942,7.83552,6.557022870588236,1.2784971294117637,12000,0.3362261904761904,False
20,none,standard,Cold,7000,Poor,high,-12015.772547360315,-1.5195632941176473,999.0,1.4784,16.987105882352942,7.83552,6.557022870588236,1.2784971294117637,12000,0.10674999999999997,False
21,none,standard,Cold,7000,Medium,low,-12001.621512620997,-0.15622023529411755,999.0,1.3103999999999998,15.056752941176468,6.945119999999998,5.811906635294116,1.133213364705882,12000,0.37616666666666665,False
22,none,standard,Cold,7000,Medium,base,-12006.918098254715,-0.666505411764706,999.0,1.3103999999999998,15.056752941176468,6.945119999999998,5.811906635294116,1.133213364705882,12000,0.2488073809523809,False
